timestamp,open,high,low,close,volume
2025-03-03 04:00:00,252.03,252.36,252.02,252.02,14
2025-03-03 04:01:00,251.66,252.02,251.66,252.02,82
2025-03-03 04:02:00,252.02,252.36,252.02,252.36,62
2025-03-03 04:04:00,252.42,252.42,252.42,252.42,5
2025-03-03 04:07:00,252.42,252.42,252.42,252.42,1
2025-03-03 04:08:00,252.43,252.43,252.43,252.43,1
2025-03-03 04:09:00,252.43,252.43,252.43,252.43,2
2025-03-03 04:16:00,252.43,252.43,252.43,252.43,1
2025-03-03 04:18:00,252.43,252.43,252.43,252.43,1
2025-03-03 04:24:00,252.44,252.44,252.44,252.44,100
2025-03-03 04:29:00,252.12,252.12,252.12,252.12,10
2025-03-03 04:35:00,252.74,252.82,252.74,252.82,37
2025-03-03 04:38:00,252.84,252.84,252.84,252.84,1
2025-03-03 04:39:00,252.79,252.8,252.79,252.8,7
2025-03-03 04:59:00,252.8,252.86,252.8,252.86,10
2025-03-03 05:01:00,252.8,252.82,252.8,252.82,3
2025-03-03 05:10:00,252.52,252.8,252.5,252.8,62
2025-03-03 05:11:00,252.89,252.89,252.89,252.89,1
2025-03-03 05:13:00,252.47,252.47,252.47,252.47,1
2025-03-03 05:22:00,252.64,252.64,252.64,252.64,4
2025-03-03 05:26:00,252.96,252.96,252.96,252.96,7
2025-03-03 05:28:00,252.89,252.89,252.89,252.89,3
2025-03-03 05:29:00,252.66,252.89,252.66,252.89,3
2025-03-03 05:33:00,252.94,252.94,252.94,252.94,2
2025-03-03 05:37:00,252.66,252.66,252.66,252.66,1
2025-03-03 05:39:00,252.66,252.66,252.66,252.66,1
2025-03-03 05:45:00,252.88,252.88,252.88,252.88,1
2025-03-03 05:46:00,252.66,252.66,252.66,252.66,2
2025-03-03 05:47:00,252.66,252.66,252.66,252.66,14
2025-03-03 05:49:00,252.7,252.7,252.7,252.7,125
2025-03-03 05:50:00,252.7,252.71,252.7,252.71,12
2025-03-03 05:52:00,252.64,252.64,252.64,252.64,14
2025-03-03 05:54:00,252.73,252.73,252.73,252.73,8
2025-03-03 05:55:00,252.69,252.69,252.69,252.69,1
2025-03-03 05:57:00,252.63,252.63,252.6,252.62,144
2025-03-03 06:00:00,252.5,252.5,252.5,252.5,1
2025-03-03 06:10:00,252.62,252.7,252.62,252.7,2
2025-03-03 06:13:00,252.66,252.78,252.66,252.78,30
2025-03-03 06:14:00,252.68,252.68,252.68,252.68,2
2025-03-03 06:23:00,252.8,252.8,252.8,252.8,10
2025-03-03 06:27:00,252.71,252.71,252.71,252.71,3
2025-03-03 06:35:00,252.71,252.71,252.71,252.71,3
2025-03-03 06:36:00,252.71,252.71,252.7,252.7,39
2025-03-03 06:37:00,252.7,252.7,252.7,252.7,8
2025-03-03 06:39:00,252.83,252.83,252.83,252.83,1
2025-03-03 06:46:00,252.83,252.83,252.83,252.83,1
2025-03-03 06:50:00,252.84,252.84,252.84,252.84,2
2025-03-03 06:54:00,252.84,252.84,252.84,252.84,3
2025-03-03 06:57:00,252.62,252.62,252.62,252.62,2
2025-03-03 06:58:00,252.64,252.64,252.64,252.64,17
2025-03-03 07:00:00,252.64,252.85,252.55,252.55,40
2025-03-03 07:01:00,252.67,252.75,252.67,252.75,98
2025-03-03 07:02:00,252.76,253.08,252.67,253.08,129
2025-03-03 07:03:00,252.9,253.0,252.78,253.0,148
2025-03-03 07:04:00,253.23,253.23,253.14,253.16,16
2025-03-03 07:05:00,253.24,253.32,253.24,253.32,49
2025-03-03 07:09:00,253.55,253.55,253.55,253.55,1
2025-03-03 07:11:00,253.04,253.04,253.01,253.01,85
2025-03-03 07:15:00,253.53,253.81,253.08,253.08,33
2025-03-03 07:17:00,253.36,253.36,253.29,253.29,51
2025-03-03 07:18:00,253.29,253.29,253.29,253.29,1
2025-03-03 07:19:00,253.27,253.27,253.27,253.27,75
2025-03-03 07:25:00,253.57,253.57,253.57,253.57,4
2025-03-03 07:26:00,253.55,253.55,253.55,253.55,1
2025-03-03 07:28:00,253.2,253.2,253.2,253.2,48
2025-03-03 07:29:00,253.4,253.49,253.26,253.26,15
2025-03-03 07:30:00,253.27,253.27,253.27,253.27,1
2025-03-03 07:31:00,253.25,253.26,253.19,253.26,71
2025-03-03 07:33:00,253.26,253.26,253.26,253.26,8
2025-03-03 07:39:00,253.2,253.2,253.2,253.2,1
2025-03-03 07:41:00,253.2,253.2,253.2,253.2,1
2025-03-03 07:43:00,253.25,253.26,253.25,253.26,53
2025-03-03 07:48:00,253.05,253.05,253.05,253.05,3
2025-03-03 07:52:00,253.27,253.27,253.27,253.27,1
2025-03-03 07:54:00,253.01,253.01,253.01,253.01,4
2025-03-03 07:59:00,253.02,253.02,253.02,253.02,3
2025-03-03 08:00:00,250.4907,255.1988,250.3712,253.03,387
2025-03-03 08:02:00,252.44,253.02,252.44,253.01,64
2025-03-03 08:04:00,252.94,252.94,252.5,252.8,114
2025-03-03 08:05:00,252.44,252.44,252.44,252.44,1
2025-03-03 08:06:00,253.0,253.0,252.4,252.4,31
2025-03-03 08:08:00,252.4,252.8,252.4,252.76,10
2025-03-03 08:09:00,252.76,252.76,252.76,252.76,1
2025-03-03 08:13:00,252.75,252.76,252.75,252.76,21
2025-03-03 08:15:00,252.79,252.79,252.79,252.79,5
2025-03-03 08:16:00,252.79,252.95,252.79,252.798,15
2025-03-03 08:18:00,252.8,252.8,252.8,252.8,10
2025-03-03 08:20:00,252.79,252.79,252.79,252.79,2
2025-03-03 08:22:00,252.85,252.85,252.85,252.85,4
2025-03-03 08:23:00,252.85,253.0,252.85,252.92,27
2025-03-03 08:28:00,252.99,252.99,252.99,252.99,1
2025-03-03 08:35:00,252.97,252.97,252.78,252.97,3
2025-03-03 08:37:00,252.79,252.88,252.79,252.88,100
2025-03-03 08:38:00,252.97,252.97,252.97,252.97,5
2025-03-03 08:44:00,252.85,252.85,252.79,252.79,44
2025-03-03 08:45:00,252.79,252.79,252.79,252.79,20
2025-03-03 08:46:00,253.35,253.35,253.35,253.35,3
2025-03-03 08:47:00,253.2037,253.2037,252.93,252.93,201
2025-03-03 08:48:00,252.95,252.99,252.95,252.99,110
2025-03-03 08:49:00,253.0,253.3745,253.0,253.35,572
2025-03-03 08:51:00,253.31,254.0,253.31,253.95,837
2025-03-03 08:53:00,253.95,253.95,253.35,253.35,36
2025-03-03 08:54:00,253.49,253.95,253.48,253.95,124
2025-03-03 08:55:00,253.4,253.4,253.3,253.3,488
2025-03-03 08:56:00,253.35,253.4,252.78,252.78,737
2025-03-03 08:58:00,253.4,253.4,253.4,253.4,20
2025-03-03 09:00:00,252.78,252.78,252.78,252.78,15
2025-03-03 09:02:00,253.95,253.95,253.95,253.95,2
2025-03-03 09:03:00,253.45,253.45,253.45,253.45,50
2025-03-03 09:04:00,254.03,254.03,254.03,254.03,16
2025-03-03 09:05:00,254.09,254.09,254.09,254.09,1
2025-03-03 09:09:00,254.067,254.067,254.067,254.067,1
2025-03-03 09:10:00,253.77,253.77,253.77,253.77,4
2025-03-03 09:11:00,253.77,253.77,252.9,252.9,2
2025-03-03 09:12:00,253.45,253.45,253.45,253.45,1
2025-03-03 09:13:00,253.51,253.51,253.51,253.51,10
2025-03-03 09:14:00,253.6,253.6,253.6,253.6,2
2025-03-03 09:16:00,253.89,253.9,253.89,253.9,36
2025-03-03 09:17:00,254.0838,254.0838,254.0838,254.0838,3
2025-03-03 09:18:00,253.85,254.0696,253.85,254.0696,700
2025-03-03 09:21:00,253.775,254.1,253.66,253.77,8
2025-03-03 09:22:00,253.8,254.0838,253.8,254.0838,114
2025-03-03 09:23:00,254.1,254.1,254.1,254.1,9
2025-03-03 09:24:00,253.89,254.11,253.85,253.89,105
2025-03-03 09:25:00,253.9,253.9,253.9,253.9,2
2025-03-03 09:26:00,253.7,253.7,253.7,253.7,3
2025-03-03 09:27:00,253.9,253.94,253.9,253.94,14
2025-03-03 09:28:00,253.542,253.62,253.542,253.62,14
2025-03-03 09:29:00,254.05,254.67,253.93,254.33,3076
2025-03-03 09:30:00,254.735,255.99,253.64,254.325,99300
2025-03-03 09:31:00,254.325,254.76,254.28,254.735,4116
2025-03-03 09:32:00,255.0,255.11,254.6,254.822,5030
2025-03-03 09:33:00,254.6,255.0,254.4,254.41,2653
2025-03-03 09:34:00,254.31,254.46,253.9501,254.11,7213
2025-03-03 09:35:00,254.185,254.6,254.155,254.43,15633
2025-03-03 09:36:00,254.24,254.24,253.6,253.82,12460
2025-03-03 09:37:00,253.82,254.71,253.82,254.64,8281
2025-03-03 09:38:00,254.49,254.56,253.82,253.85,9057
2025-03-03 09:39:00,253.84,254.042,253.745,253.785,9621
2025-03-03 09:40:00,253.785,254.21,253.72,253.72,7611
2025-03-03 09:41:00,253.73,254.2,253.72,254.2,3334
2025-03-03 09:42:00,254.149,254.149,253.76,253.76,1997
2025-03-03 09:43:00,253.8309,253.8309,253.465,253.5375,3475
2025-03-03 09:44:00,253.46,253.46,253.02,253.02,5356
2025-03-03 09:45:00,253.21,253.22,252.9,253.0,11601
