timestamp,open,high,low,close,volume
2025-02-12 04:00:00,232.92,233.12,232.57,232.69,8802
2025-02-12 04:05:00,232.69,232.75,232.35,232.36,2273
2025-02-12 04:10:00,232.36,232.49,232.35,232.49,1489
2025-02-12 04:15:00,232.5,232.52,232.4,232.47,1822
2025-02-12 04:20:00,232.45,232.5,232.35,232.43,2007
2025-02-12 04:25:00,232.43,232.5,232.41,232.48,2900
2025-02-12 04:30:00,232.48,232.58,232.43,232.56,4802
2025-02-12 04:35:00,232.57,232.58,232.41,232.43,1117
2025-02-12 04:40:00,232.46,232.55,232.46,232.5,493
2025-02-12 04:45:00,232.5,232.55,232.42,232.44,1219
2025-02-12 04:50:00,232.43,232.44,232.32,232.36,2645
2025-02-12 04:55:00,232.36,232.43,232.34,232.41,735
2025-02-12 05:00:00,232.41,232.47,232.39,232.4,1354
2025-02-12 05:05:00,232.39,232.5,232.39,232.49,1147
2025-02-12 05:10:00,232.5,232.56,232.47,232.49,1368
2025-02-12 05:15:00,232.52,232.56,232.52,232.55,412
2025-02-12 05:20:00,232.56,232.6,232.5,232.51,1797
2025-02-12 05:25:00,232.49,232.56,232.47,232.56,525
2025-02-12 05:30:00,232.58,232.58,232.52,232.55,553
2025-02-12 05:35:00,232.54,232.56,232.5,232.51,797
2025-02-12 05:40:00,232.52,232.64,232.51,232.64,1152
2025-02-12 05:45:00,232.63,232.69,232.61,232.63,329
2025-02-12 05:50:00,232.63,232.64,232.55,232.59,1031
2025-02-12 05:55:00,232.6,232.67,232.6,232.6,454
2025-02-12 06:00:00,232.6,232.6,232.56,232.6,833
2025-02-12 06:05:00,232.56,232.57,232.51,232.51,696
2025-02-12 06:10:00,232.51,232.63,232.5,232.58,2372
2025-02-12 06:15:00,232.57,232.73,232.57,232.72,1466
2025-02-12 06:20:00,232.73,232.77,232.7,232.73,435
2025-02-12 06:25:00,232.74,232.87,232.71,232.85,1667
2025-02-12 06:30:00,232.85,232.89,232.84,232.85,807
2025-02-12 06:35:00,232.86,232.88,232.81,232.84,773
2025-02-12 06:40:00,232.82,232.84,232.8,232.82,1964
2025-02-12 06:45:00,232.82,232.83,232.75,232.77,446
2025-02-12 06:50:00,232.78,232.84,232.77,232.78,702
2025-02-12 06:55:00,232.79,232.83,232.75,232.77,1715
2025-02-12 07:00:00,232.77,232.84,232.71,232.79,1818
2025-02-12 07:05:00,232.79,232.81,232.71,232.72,3354
2025-02-12 07:10:00,232.71,232.84,232.71,232.84,1273
2025-02-12 07:15:00,232.82,232.84,232.73,232.73,2438
2025-02-12 07:20:00,232.73,232.81,232.72,232.76,2263
2025-02-12 07:25:00,232.75,232.8,232.75,232.76,435
2025-02-12 07:30:00,232.8,232.84,232.76,232.83,1181
2025-02-12 07:35:00,232.82,232.85,232.76,232.84,1302
2025-02-12 07:40:00,232.85,232.86,232.81,232.81,665
2025-02-12 07:45:00,232.82,232.85,232.81,232.83,1459
2025-02-12 07:50:00,232.81,232.91,232.81,232.9,3761
2025-02-12 07:55:00,232.9,232.95,232.86,232.94,2147
2025-02-12 08:00:00,232.75,233.0,232.3012,232.97,2211567
2025-02-12 08:05:00,232.98,233.0,232.62,232.95,3323
2025-02-12 08:10:00,232.99,233.1,232.94,233.02,7462
2025-02-12 08:15:00,233.02,233.11,232.87,232.87,7620
